,carbs per g,calories per g,protein per gram,fat per g,name
133,0.2236,0.89,0.0115,0.0013,"CHERRIES,SWT,FRZ,SWTND"
134,0.001,2.74,0,0.2098,"LAMB,NZ,IMP,LOIN SADDLE,LN & FAT,CKD,FAST RSTD"
135,0,0.87,0.1899,0.0064,"LING,RAW"
136,0,1.96,0,0.1044,"TURKEY SAUSAGE,FRSH,CKD"
137,0.841,4.04,0.047,0.055,"CAKE,YELLOW,DRY MIX,LIGHT"
138,0.0292,0.19,0,0.0037,"SPINACH,CND,REG PK,SOL&LIQUIDS"
139,0.4781,4.58,0.09,0.2774,ALMOND PASTE
140,0.1713,1.94,0.0361,0.1272,"DESSERT TOPPING,PDR,1.5 OZ PREP W/1/2 CUP MILK"
141,0,3.37,0.2242,0.2675,"BEEF,RIB,WHL (RIBS 6-12),LN&FAT,1/8\FAT,ALL GRDS,CKD,BRLD"""
142,0.543,2.93,0.107,0.033,"BREAD,WHEAT GERM,TOASTED"
143,0,8.84,0,1,"OIL,SHEANUT"
144,0.0993,1.73,0,0.0897,"SOYBEANS,MATURE SEEDS,CKD,BLD,W/SALT"
145,0.0873,0.56,0,0.0159,"CAMPBELL'S RED & WHITE,CHICK & STARS SOUP,COND"
146,0.1389,0.67,0,0.004,"CAMPBELL'S,SPAGHETTIOS,SPAGHETTIOS ORIGINAL"
147,0.048,0.5,0.033,0.0198,"MILK,RED FAT,FLUID,2% MILKFAT,WO/ ADDED VIT A & VIT D"
148,0.0496,2.98,0,0.2628,"Frankfurter, meat and poultry, cooked, boiled"
149,0,2.08,0.281,0.097,"TURKEY,LT OR DK MEAT,SMOKED,CKD,W/SKN,BONE REMOVED"
150,0,2.01,0.2614,0.0997,"CHICKEN,BROILERS OR FRYERS,LT MEAT,MEAT&SKN,CKD,STWD"
151,0.1761,1.12,0,0.0283,"EGG CUSTARDS,DRY MIX,PREP W/ 2% MILK"
152,0,2.58,0.1755,0.2033,"CHICKEN,STEWING,MEAT&SKN,RAW"
153,0.0538,3.8,0.2693,0.278,"CHEESE,SWISS"
154,0.0975,0.53,0.0319,0.003,"PEAS,GRN,CND,NO SALT,SOL&LIQUIDS"
155,0,1.35,0.2191,0.0462,"BEEF,TOP SIRLOIN,STEAK,LN,1/8\ FAT,CHOIC,RAW"""
156,5e-04,1.69,0,0.0996,"LAMB,NZ,IMP,RACK - FULLY FRENCHED,LN & FAT,RAW"
157,0.6411,3.43,0,0.0202,"BEANS,FRENCH,MATURE SEEDS,RAW"
158,0.8365,3.41,0,0.0053,"FROSTINGS,GLAZE,PREPARED-FROM-RECIPE"
159,0.1426,0.78,0.0515,0.0027,"PEAS,GRN,FRZ,CKD,BLD,DRND,WO/SALT"
160,0.736,4.66,0,0.164,"MURRAY,CHOCOLATEY CHIP THINS COOKIES"
161,0.0994,1.22,0,0.052,"EDAMAME,FRZ,PREP"
162,0,2.68,0.2384,0.1839,"LAMB,DOM,SHLDR,WHL (ARM&BLD),LN&FAT,1/8\FAT,CHOIC,CKD,BRLD"""
163,0,2.38,0.2377,0.1513,"GAME MEAT,BISON,GROUND,CKD,PAN-BROILED"
