,carbs per g,calories per g,protein per gram,fat per g,name
3404,0,2.31,0.2372,0.1435,"PORK,FRSH,LOIN,BLADE (CHOPS),BONE-IN,LN&FAT,CKD,BRLD"
3405,0.739,4.61,0,0.157,"MURRAY,COOKIE JAR CLASSICS,COCNT BARS COOKIES"
3406,0.1253,0.84,0,0.0022,"YOGURT,GREEK,NON FAT,STRAWBERRY,DANNON OIKOS"
3407,0.2222,1.66,0,0.0747,"POTATOES,FRENCH FR,WEDGE CUT,FRZ,UNPREP"
3408,0,1.34,0.2927,0.0097,"GAME MEAT,MOOSE,CKD,RSTD"
3409,0.0753,0.51,0,0.0128,"CAMPBELL'S,HOMESTYLE CHICK NOODLE SOUP,COND"
3410,0,2.63,0.2556,0.1786,"BEEF,GROUND,70% LN MEAT / 30% FAT,CRUMBLES,CKD,PAN-BROWNED"
3411,0.697,4.55,0.076,0.158,"CRACKERS,MILK"
3412,0,2.83,0.2721,0.1854,"BEEF,COMP OF RTL CUTS,LN&FAT,0\FAT,CHOIC,CKD"""
3413,0.789,4.38,0,0.116,"KELLOGG'S,POP-TARTS MINI CRISPS,FRSTD CHOC BKD BITES"
3414,0,1.63,0.2843,0.0465,"EMU,GROUND,CKD,PAN-BROILED"
3415,0.1721,0.78,0,0.001,"POTATOES,BLD,CKD IN SKN,SKN,WO/SALT"
3416,0.6378,5.14,0.0537,0.2622,"COOKIES,SHORTBREAD,COMMLY PREP,PLN"
3417,0,0.73,0,0.003,"FROG LEGS,RAW"
3418,0,2.78,0.2442,0.1926,"LAMB,DOM,SHLDR,WHL (ARM&BLD),LN&FAT,1/4\FAT,CHOIC,CKD,BRLD"""
3419,0.6061,2.45,0,0.0013,"SAUCE,DUCK,RTS"
3420,0.683,5.14,0,0.253,"MOTHER'S,JUNGLE ANIMAL COOKIES"
3421,0,1.29,0,0.0449,"BEEF,NZ,IMP,BOLAR BLADE,LN,RAW"
3422,0.06,0.26,0.0077,0.001,"ONIONS,FRZ,CHOPD,CKD,BLD,DRND,W/SALT"
3423,0.0939,0.78,0,0.0367,"CAMPBELL'S CHUNKY SOUPS,BKD POTATO CHEDDAR BACON BITS SOUP"
3424,0.7886,3.73,0,0.0406,"CEREALS RTE,QUAKER,MAPLE BROWN SUGAR LIFE CRL"
3425,0,3.55,0.2301,0.2851,"BEEF,RIB,LRG END (RIBS 6-9),LN&FAT,1/8\FAT,ALL GRDS,CKD,RSTD"""
3426,0.6704,2.6,4e-04,6e-04,"SYRUPS,MAPLE"
3427,0.7945,3.7,0,0.0175,"CORNMEAL,DEGERMED,UNENR,YEL"
3428,0,1.16,0.2348,0.0169,"WHITING,MXD SP,CKD,DRY HEAT"
3429,0.746,4.37,0.044,0.138,"CAKE,GINGERBREAD,DRY MIX"
3430,0.2325,1.21,0,0.0038,"PIGEON PEAS (RED GM),MATURE SEEDS,CKD,BLD,W/SALT"
3431,0.065,0.26,0,0.001,"PUMPKIN,RAW"
3432,0.562,5.23,0.07,0.327,"CORN-BASED,EXTRUDED,CHIPS,BARBECUE-FLAVOR"
3433,0,2.23,0.1804,0.1615,"LAMB,NZ,IMP,FRZ,FORESHANK,LN&FAT,1/8\FAT,RAW"""
3434,0.7503,3.48,0.1463,0.014,"MACARONI,WHOLE-WHEAT,DRY"
3435,0.809,3.89,0,0.057,"CEREALS RTE,KELLOGG,KELLOGG'S LOFAT GRANOLA WO/ RAISINS"
3436,0.18,1.17,0,0.021,"SOUP,BEAN W/BACON,COND,SINGLE BRAND"
3437,0.004,2.19,0,0.116,"BEEF,TOP LOIN FILET,BNLESS,LN & FAT,1/8\ FAT,SEL,CKD,GRILLED"""
3438,0.052,0.27,0.026,0.003,"BAMBOO SHOOTS,RAW"
3439,0.71,3.71,0.104,0.043,"POPOVERS,DRY MIX,ENRICHED"
3440,0.711,3.98,0,0.105,"TOASTER PASTRIES,KELLOGG,KELLOGG'S POP TARTS,STRAWBERRY"
3441,0.514,3.29,0,0.026,"DAIRY DRK MIX,CHOC,RED CAL,W/ LOW-CALORIE SWEETENERS,PDR"
3442,0,1.28,0,0.0265,"FISH,TILAPIA,CKD,DRY HEAT"
3443,0.6,4,0,0.1,"COCOA,DRY PDR,UNSWTND,HERSHEY'S EUROPEAN STYLE COCOA"
3444,0,0,0.001,0,"CARB BEV,LO CAL,OTHR THN COLA OR PEPPER,W/ ASPRT,CONTNS CAFF"
3445,0,2.5,0.3409,0.1161,"BEEF,RND,TOP RND,LN&FAT,1/8\FAT,CHOIC,CKD,BRSD"""
3446,0.0014,1.12,0.2264,0.0193,"TURKEY,WHL,MEAT ONLY,RAW"
3447,0.3514,3.82,0,0.1189,"SESAME FLR,PART DEFATTED"
3448,0.3252,2.3,0.1028,0.0653,"LEAN POCKETS,HAM N CHEDDAR"
3449,0.5518,5.21,0,0.2985,"CANDIES,REESE'S BITES"
3450,0.0105,4.59,0.2895,0.367,"PORK,CURED,BRKFST STRIPS,CKD"
3451,0,3.33,0.1603,0.2934,"BEEF,RIB,LRG END (RIBS 6-9),LN&FAT,1/8\FAT,CHOIC,RAW"""
3452,0.249,1.6,0,0.06,"FROZEN YOGURTS,CHOC,SOFT-SERVE"
3453,0.1208,0.46,0,8e-04,"ENERGY DRK,FULL THROTTLE"
3454,0.0554,0.25,0.0064,0.0019,"CARROTS,CND,NO SALT ,DRND SOL"
3455,0.1775,1.12,0.0386,0.0303,"MILK SHAKES,THICK VANILLA"
3456,0,8.84,0,1,"OIL,SESAME,SALAD OR COOKING"
3457,0.0568,0.7,0.0233,0.0423,CAMPBELL'S HOMESTYLE NEW ENGLAND CLAM CHOWDER
3458,0.1932,1.03,0.0607,0.0034,"LIMA BNS,IMMAT SEEDS,FRZ,FORDHOOK,CKD,BLD,DRND,W/SALT"
3459,0.0846,2.25,0.1123,0.1595,"PICKLE&PIMIENTO LOAF,PORK"
3460,0,2.08,0,0.0889,"BEEF,NZ,IMP,CHUCK EYE ROLL,LN,CKD,BRSD"
3461,0.0049,1.67,0.2094,0.0843,"PORK,CURED,HAM,EX LN&REG,CND,RSTD"
3462,0.6849,3.83,0.1413,0.0548,"BREAD CRUMBS,DRY,GRATED,SEASONED"
3463,0.0336,2.42,0,0.1487,"CHICKEN,WING,FRZ,GLAZED,BBQ FLAV,HTD (CONVENTIONAL OVEN)"
3464,0,6.4,0.0692,0.6763,"LAMB,NZ,IMP,FRZ,COMP OF RTL CUTS,FAT,RAW"
3465,0.809,3.83,0.093,0.017,CRACKER MEAL
3466,0.706,3.94,0,0.105,"KELLOGG'S,POP-TARTS,FRSTD PUMPKIN PIE TOASTER PASTRIES"
3467,0.3483,2.43,0.039,0.0975,"PIE,PUMPKIN,COMMLY PREP"
3468,0.027,7.17,0.011,0.794,"SALAD DRSNG,MAYO,SOYBN&SAFFLOWER OIL,W/SALT"
3469,0,1.28,0.2218,0.0366,"BEEF,RND,BTTM RND,RST,LN,1/8\ FAT,SEL,RAW"""
3470,0,8.84,0,1,"SHORTENING,HOUSEHOLD,PARTIALLY HYDROG SOYBN -COTTONSEED"
3471,0,1.72,0.2925,0.0522,"BEEF,RND,FULL CUT,LN,1/4\FAT,SEL,CKD,BRLD"""
3472,0,1.82,0.2993,0.0605,"BEEF,RIB,EYE,SML END (RIBS 10- 12) LN,0\ FAT,SEL,CKD,BRLD"""
3473,0.762,3.18,0,0.013,"CEREALS RTE,KASHI ORGANIC PROMISE,BERRY FRUITFUL"
3474,0.1477,0.62,0.0037,0.0013,"GRAPE JUC,CND OR BTLD,W/ ADDED VIT C & CA"
3475,0.0589,3.05,0,0.2545,LIVERWURST SPRD
3476,0,2.67,0.1688,0.2159,"LAMB,DOM,COMP OF RTL CUTS,LN&FAT,1/4\FAT,CHOIC,RAW"""
3477,0,0,0,0,"WATER,TAP,MUNICIPAL"
3478,0.789,3.51,0.131,0.015,"CRACKERS,MATZO,WHOLE-WHEAT"
3479,0,1.99,0.2788,0.0977,"BEEF,CHUCK EYE STEAK,BNLESS,LN,0\ FAT,SEL,CKD,GRILLED"""
3480,0.0735,0.49,0,0.0082,"CAMPBELL'S CHUNKY SOUPS,STEAK 'N' POTATO SOUP"
3481,0.593,2.94,0.106,0.018,"BAGELS,CINNAMON-RAISIN,TSTD"
3482,0.8282,3.59,0.01,0.0268,"FRUIT LEATHER,PIECES"
3483,0,2.81,0.19,0.2217,"BEEF,SHRT LOIN,TOP LOIN,STEAK,LN & FAT,1/8\ FAT,PRIME,RAW"""
3484,0,1.58,0.2981,0.0337,"BEEF,RND,TOP RND STEAK,BNLESS,LN,0\ FAT,SEL,CKD,GRILLED"""
3485,0.1697,1.29,0.0588,0.0442,"SOUP,BEAN W/ PORK,CND,COND"
3486,0.0086,5.33,0.0017,0.5981,"MARGARINE-LIKE,VEG OIL SPRD,60% FAT,TUB,W/ SALT"
3487,0,1.16,0.2341,0.0252,"BEEF,RND,EYE OF RND STEAK,BNLESS,LN,0\ FAT,SEL,RAW"""
3488,0,2.09,0.2703,0.1032,"PORK,FRSH,LEG (HAM),RUMP HALF,LN&FAT,CKD,RSTD"
3489,0,3.72,0.228,0.3049,"BEEF,RIB,LRG END (RIBS 6-9),LN&FAT,0\FAT,CHOIC,CKD,RSTD"""
3490,0.759,4.33,0,0.114,"CEREALS RTE,POST,HONEY BUNCHES OF OATS,JUST BUNCHES,HNY RSTD"
3491,0,8.84,0,1,"OIL,INDUSTRIAL,SOY,REFINED,FOR WOKS & LT FRYING"
3492,0.0574,4.21,0.0132,0.4454,"SALAD DRSNG,RANCH DRSNG,COMM,REG"
3493,0.2068,1.21,0,0.0282,"PUDDINGS,RICE,DRY MIX,PREP W/ WHL MILK"
3494,0.0453,0.41,0,0.0144,"SILK PLUS FOR BONE HEALTH,SOYMILK"
3495,0.003,1.3,0,0.0333,"PORK,CURED,HAM W/ NAT JUICES,SHANK,BONE-IN,LN,UNHTD"
3496,0.1526,5.99,0.2803,0.525,"PEANUTS,ALL TYPES,OIL-ROASTED,W/SALT"
3497,0.1112,0.48,0.014,0.0039,"APRICOTS,RAW"
3498,0.1022,3.26,0,0.0053,"SOY PROT ISOLATE,K TYPE"
3499,0,1.62,0.297,0.0385,"BEEF,RND,TOP RND STEAK,BNLS,LN & FAT,0\ FAT,SEL,CKD,GRLD"""
3500,0,1.61,0.286,0.0436,"PORK,FRSH,LOIN,SIRLOIN (CHOPS),BNLESS,LN,CKD,BRLD"
3501,0.0377,1.92,0,0.0626,"VEAL,VAR MEATS&BY-PRODUCTS,LIVER,CKD,BRSD"
3502,0.815,3.84,0.082,0.028,"Snacks, brown rice chips"
3503,2e-04,2.15,0.2686,0.1198,"CHICKEN,BROILERS OR FRYERS,DRUMSTK,MEAT & SKN,CKD,ROTISSERIE"
3504,0,8.84,0,1,"OIL,INDUSTRIAL,COCNT,CONFECTION FAT,ICE CRM COATINGS"
3505,0,2.04,0.3067,0.09,"BEEF,RND,TOP RND STEAK,LN & FAT,1/8\ FAT,ALL GRDS,CKD,BRLD"""
3506,0.2854,1.97,0.1044,0.0451,"EGG ROLLS,CHICK,REFR,HTD"
3507,0,1.46,0.21,0.0624,"LAMB,AUS,IMP,FRSH,LOIN,LN,1/8\FAT,RAW"""
3508,0.7667,3.68,0,0.0473,"CEREALS,OATS,INST,FORT,MAPLE & BROWN SUGAR,DRY"
3509,0,1.57,0.2178,0.0713,"GAME MEAT,DEER,GROUND,RAW"
3510,0,6.48,0.0627,0.6887,"LAMB,AUS,IMP,FRSH,FAT,RAW"
3511,0.007,0.05,0,8e-04,"ENG DRK,RED BULL,SGR FR,W/ADD CAFF,NIACIN,PANTO,VIT B6 & B12"
3512,0.016,4.07,0.2258,0.3372,"SALAMI,DRY OR HARD,PORK"
3513,0.3019,5.53,0,0.4385,"NUTS,CASHEW NUTS,RAW"
3514,0.0086,1.65,0.2677,0.0522,"CHICKEN,ROASTING,GIBLETS,CKD,SIMMRD"
3515,0.0977,0.49,0,0.007,"EGGPLANT,PICKLED"
3516,0.0358,0.3,0.0128,0.0126,"SOUP,TURKEY VEG,CND,PREP W/ EQ VOLUME H2O"
3517,0.043,0.73,0,0.006,"OSCAR MAYER,WIENERS (FAT FREE HOT DOGS)"
3518,0.361,3.32,0,0.0141,"COTTONSEED FLR,LOFAT (GLANDLESS)"
3519,0.1882,6.14,0.2096,0.555,"ALMOND BUTTER,PLN,W/SALT"
3520,0.633,4.83,0,0.275,"MURRAY,SUGAR FREE,FUDGE DIPPED GRAHAMS"
3521,0.6074,3.44,0,0.0169,"HYACINTH BNS,MATURE SEEDS,RAW"
3522,0.6374,3.52,0.2382,0.0116,"PEAS,GRN,SPLIT,MATURE SEEDS,RAW"
3523,0.3355,4.71,0,0.254,"SOYBEANS,MATURE SEEDS,RSTED,NO SALT ADDED"
3524,0,1.6,0.2131,0.0829,"BEEF,CHUCK EYE STEAK,BNLESS,LN,0\ FAT,CHOIC,RAW"""
3525,0,1.23,0.2083,0.0381,"LAMB,AUS,IMP,FRSH,FORESHANK,LN,1/8\FAT,RAW"""
3526,0,1.46,0,0.0688,"BEEF,NZ,IMP,TENDERLOIN,LN & FAT,RAW"
3527,0.006,1.99,0.208,0.126,"BEEF,TOP LOIN PETITE RST/FILET,BNLS,LN & FAT,1/8\ FAT,CHC,RW"""
3528,0,2.91,0.2642,0.1971,"BEEF,COMP OF RTL CUTS,LN&FAT,1/8\FAT,ALL GRDS,CKD"""
3529,0.2729,2.35,0,0.0945,"TURNOVER,CHEESE-FILLED,TOMATO-BASED SAU,FRZ,UNPREP"
3530,0.1071,1.76,0.1341,0.0888,"CHEESE SPRD,AMERICAN OR CHEDDAR CHS BASE,RED FAT"
3531,0.01,4.5,0,0.5,"MARGARINE-LIKE,VEG OIL-BUTTER SPRD,RED CAL,TUB,W/ SALT"
3532,0.541,5.36,0,0.312,"GRANOLA BAR,SOFT,MILK CHOC COATD,PNUT BUTTER"
3533,0.0075,7.13,0.0022,0.8017,"MARGARINE,REG,80% FAT,COMP,TUB,WO/ SALT"
3534,0.644,2.42,0.007,0.002,"JAMS&PRESERVES,APRICOT"
3535,0.781,4.65,0,0.15,"KEEBLER,VIENNA FINGERS W/ CREME FILLING,RED FAT"
3536,0.0015,1.14,0.1927,0.0412,"TURKEY,THIGH,FROM WHL BIRD,ENHANCED,MEAT ONLY,RAW"
3537,0.0076,1.57,0.2054,0.0794,"PORK,FRSH,LOIN,BLDE (CHOPS OR ROAST),BNLESS,LN & FAT OLY,RAW"
3538,0,1.16,0.2359,0.0245,"BEEF,RND,TOP RND STEAK,BNLESS,LN,0\ FAT,SEL,RAW"""
3539,0.0329,0.3,0.053,0.0069,"BALSAM-PEAR (BITTER GOURD),LEAFY TIPS,RAW"
3540,0,2.1,0.1887,0.1499,"BEEF,CHK EYE CNTRY-STYLE RIBS,BNL,LN & FAT,0\ FAT,CHOICE,RAW"""
3541,0.5111,4.45,0,0.2546,"PIE CRUST,REFR,REG,UNBAKED"
3542,0.0809,0.71,0,0.0022,"YOGURT,GREEK,NON FAT,VANILLA,CHOBANI"
3543,7e-04,1.96,0,0.085,"BEEF,NZ,IMP,HIND SHIN,LN & FAT,CKD,BRSD"
3544,0.441,2.21,0.096,0.023,"ENGLISH MUFFINS,WHOLE-WHEAT,TSTD"
3545,0.2045,1.13,0,0.0043,"BEANS,NAVY,MATURE SEEDS,CND"
3546,0.107,0.66,0.0242,0.0156,"SOUP,VEG W/ BF BROTH,CND,COND"
3547,0,1.43,0.2617,0.0351,"PORK,FRSH,LOIN,TENDERLOIN,LN,CKD,RSTD"
3548,0.687,3.14,0.179,0.03,"PEPPERS,SWT,GRN,FREEZE-DRIED"
3549,0.2231,0.88,0,0.0012,"BOYSENBERRIES,CND,HVY SYRUP"
3550,0.58,3.44,0,0.08,"GRAVY,UNSPEC TYPE,DRY"
3551,0.054,5.5,0.215,0.496,"SNACKS,BF STKS,SMOKED"
3552,0.186,1.05,0.0486,0.0141,"YOGURT,FRUIT,LOWFAT,W/ LO CAL SWTNR,FORT W/ VITAMIN D"
3553,0.046,0.19,2e-04,1e-04,"CRANBERRY JUC COCKTAIL,BTLD,LO CAL,W/CA,SACCHARIN&CORN SWTNR"
3554,0.71,4.69,0,0.193,"KEEBLER,SWT CREMES COOKIES"
3555,0,2.49,0.2727,0.1474,"BEEF,RIB,SML END (RIBS 10-12),LN&FAT,0\FAT,ALL GRDS,CKD,BRLD"""
3556,0.8175,4,0,0.0523,"CEREALS RTE,GENERAL MILLS,CHEERIOS,YOGURT BURST,STRAWBERRY"
3557,0,0.87,0,0.013,"CRAYFISH,MXD SP,FARMED,CKD,MOIST HEAT"
3558,0.0669,0.29,0,0.0011,"KOHLRABI,CKD,BLD,DRND,W/SALT"
3559,0.664,4.78,0,0.238,"KEEBLER,FUDGE SHOPPE,FUDGE STRIPES,OATMEAL"
3560,0.1049,0.4,0,9e-04,"SQUASH,WNTR,BUTTERNUT,CKD,BKD,WO/SALT"
3561,0,1.55,0,0.039,"BEEF,RND,EYE OF RND STEAK,BNLESS,LN,0\ FT,A GRDS,CKD,GRILLED"""
3562,0.0175,1.87,0.1946,0.114,"BEEF,RIBEYE CAP STEAK,BNLESS,LN,0\ FAT,CHOIC,RAW"""
3563,0.6592,4,0,0.1326,"ARCHWAY Home Style Cookies, Strawberry Filled"
3564,0,2.11,0.2548,0.1132,"LAMB,DOM,SHLDR,BLADE,LN,1/4\FAT,CHOIC,CKD,BRLD"""
3565,0.3367,4.41,0,0.2186,"SOY FLR,FULL-FAT,RSTD"
3566,0,1.45,0.2824,0.0361,"CHIKN,BRLR OR FRYRS,BRST,SKNLSS,BNLSS,MEAT OLY,ENHCD,BRSD"
3567,0,1.49,0.2293,0.0634,"BEEF,LOIN,TOP LOIN STEAK,BNLESS,LIP-ON,LN,1/8\ FAT,CHOIC,RAW"""
3568,0.0014,1.01,0.2154,0.0166,"TURKEY,WING,FROM WHL BIRD,ENHANCED,MEAT ONLY,RAW"
3569,0,2.28,0.3141,0.1143,"BF,CHK EYE CNTRY-STL RIBS,BNLS,LN,0\ FAT,ALL GRDS, CKD, BRSD"""
3570,0.0689,0.7,0.0103,0.0438,"MILK,HUMAN,MATURE,FLUID"
3571,0.5501,2.37,0,3e-04,"BEANS,ADZUKI,MATURE SEEDS,CND,SWTND"
3572,0,2.57,0.1765,0.2014,"SABLEFISH,SMOKED"
3573,0.2012,0.86,0.0157,5e-04,"SWEET POTATO,RAW,UNPREP"
3574,0.593,5.35,0,0.306,"KEEBLER,SANDIES,CASHEW SHORTBREAD COOKIES"
3575,0,1.25,0.2345,0.035,"BEEF,RND,TOP RND RST,BNLESS,LN & FAT,0\ FAT,ALL GRDS,RAW"""
3576,0.0238,6.15,0.4817,0.4395,"EGG,WHL,DRIED,STABILIZED,GLUCOSE RED"
3577,0,2.79,0.1718,0.2275,"LAMB,DOM,LOIN,LN&FAT,1/8\FAT,CHOIC,RAW"""
3578,0.0265,0.23,0.0315,0.0064,"BASIL,FRESH"
3579,0.662,3.53,0.199,0.014,"BEVERAGE,INST BRKFST PDR,CHOC,NOT RECON"
3580,0.051,0.21,0.009,0.001,"PEPPERS,HOT CHILI,RED,CND,EXCLUDING SEEDS,SOL&LIQUIDS"
3581,0.7422,3.54,0,0.0097,"WHEAT FLR,WHITE,ALL-PURPOSE,SELF-RISING,ENR"
3582,0.1302,0.55,0,0.0031,"LOGANBERRIES,FROZEN"
3583,0.1014,0.4,5e-04,2e-04,"CARBONATED BEV,SPRITE,LEMON-LIME,WO/ CAFFEINE"
3584,0.636,4.69,0,0.27,"MURRAY,SUGAR FREE,CHOC CHIP COOKIES"
3585,0.687,3.14,0.179,0.03,"PEPPERS,SWT,RED,FREEZE-DRIED"
3586,0.0427,3.44,0.1912,0.2731,"SAUSAGE,ITALIAN,PORK,CKD"
3587,0.8604,3.51,0.016,0.001,"PUDDINGS,ALL FLAVORS XCPT CHOC,LO CAL,REG,DRY MIX"
3588,0.0169,0.09,0,0.0018,"COFFEE,BREWED,ESPRESSO,REST-PREP,DECAFFEINATED"
3589,0.653,5,0,0.241,"KEEBLER,CHIPS DELUXE,OATMEAL CHOC CHIP COOKIES"
3590,0,2.24,0.2551,0.128,"BEEF,SHRT LOIN,PRTRHS STEAK,LN,0\ FAT,CHOIC,CKD,BRLD"""
3591,0.0926,0.49,0,0.0025,"VEGETABLES,MXD,CND,DRND SOL"
3592,0.022,3.26,0.141,0.285,"LIVER SAUSAGE,LIVERWURST,PORK"
3593,0.038,0.54,0.018,0.0375,"SOUP,CHICK MUSHROOM,CND,PREP W/ EQ VOLUME H2O"
3594,0,2.73,0.2582,0.1805,"PORK,FRSH,LOIN,CNTR RIB (CHOPS),BNLESS,LN&FAT,CKD,PAN-FRIED"
3595,0,1.98,0.2598,0.0961,"BEEF,SHRT LOIN,T-BONE STEAK,LN,0\ FAT,CHOIC,CKD,BRLD"""
3596,0.726,4.75,0,0.188,"MURRAY,DUPLEX CREME SNDWCH COOKIES"
3597,0,2.14,0.3466,0.0736,"BEEF,CHUCK,ARM POT RST,LN,1/8\ FAT,ALL GRDS,CKD,BRSD"""
3598,0.0691,0.31,0,0.0057,"SQUASH,WNTR,SPAGHETTI,RAW"
3599,0,1.83,0.2665,0.0846,"BEEF,CHK EYE RST,BNL,AMERICA'S BF RST,LN,0\ FAT,ALL GRD, CKD"""
3600,0.8282,3.57,0,0.0346,"CEREALS RTE,GENERAL MILLS,KIX"
3601,0.0468,2.09,0.1142,0.1605,BOLOGNA  TURKEY
3602,0.2605,1.23,0,0.0037,"RICE,WHITE,LONG-GRAIN,PARBLD,ENR,CKD"
3603,0.077,1.12,0,0.03,TURKEY  WHITE  ROTISSERIE  DELI CUT
3604,0.0013,1.61,0.2196,0.0743,"TURKEY FROM WHL,LT MEAT,MEAT & SKN,RAW"
3605,0.443,2.07,0.087,0.025,"BREAD,RED-CAL,WHITE"
3606,0.2185,1.23,0,0.0017,"BEANS,KIDNEY,ROYAL RED,MATURE SEEDS,CKD,BLD,WO/SALT"
3607,0.2536,1.08,0,0.0032,"SWEET POTATO,CND,SYRUP PK,DRND SOL"
3608,0.0135,1.16,0,0.0335,"BEEF,NZ,IMP,EYE RND,LN,RAW"
3609,0.1103,0.41,0.0039,1e-04,"PLUMS,CND,PURPLE,H2O PK,SOL&LIQUIDS"
3610,0.335,5.76,0,0.5,"BEECHNUTS,DRIED"
3611,0.2051,1.16,0,0.0039,"PEAS,SPLIT,MATURE SEEDS,CKD,BLD,W/SALT"
3612,0,3.03,0.2292,0.2352,"BEEF,RIB EYE STEAK,BNLS,LIP-ON,LN & FAT,1/8\ FAT,CHC,CKD,GRD"""
3613,0,2.16,0.3068,0.0944,"BEEF,CHUCK,UNDER BLADE POT RST,BNLESS,LN,0\ FAT,SEL,CKD,BRSD"""
3614,0.2202,2.57,0,0.1602,"SAUCE,PNUT,MADE FROM PNUT BUTTER,H2O,SOY SAU"
3615,0.0213,4.1,0.2425,0.3382,"CHEESE,CHEDDAR,SHARP,SLICED"
3616,0.0335,0.17,0.0125,0.002,"ENDIVE,RAW"
3617,0.0044,2.18,0,0.16,"PORK,GROUND,84% LN / 16% FAT,RAW"
3618,0.0514,0.27,0.0085,0.0036,"WHEY,SWEET,FLUID"
3619,0,2.44,0.1701,0.1897,"LAMB,DOM,SHLDR,BLADE,LN&FAT,1/8\FAT,CHOIC,RAW"""
3620,0,2.36,0.1218,0.2035,"BEEF,VAR MEATS&BY-PRODUCTS,THYMUS,RAW"
3621,0.1042,0.4,0.008,0.001,"SQUASH,WINTER,ACORN,RAW"
3622,0.0586,0.26,0,0.0017,"BEANS,SNAP,GRN,FRZ,CKD,BLD,DRND,W/SALT"
3623,0.1355,0.9,0.0498,0.0201,"REFRIED BNS,CND,TRADITIONAL STYLE (INCLUDES USDA COMMODITY)"
3624,0.1333,0.71,0.0407,0.0029,"LIMA BNS,IMMAT SEEDS,CND,NO SALT,SOL&LIQUIDS"
3625,0.564,3.05,0.092,0.059,"BREAD,WHOLE-WHEAT,PREP FROM RECIPE,TSTD"
3626,0,0.93,0.1914,0.0122,"PIKE,WALLEYE,RAW"
3627,0.8972,3.97,0.0577,0.0089,"CEREALS RTE,MALT-O-MEAL,GOLDEN PUFFS"
3628,0.0741,0.84,0,0.0173,"GEFILTEFISH,COMM,SWT RECIPE"
3629,0,2.11,0.2884,0.0973,"PORK,FRSH,LOIN,CNTR RIB (CHOPS),BONE-IN,LN,CKD,PAN-FRIED"
3630,0,2.05,0.1897,0.1432,"BEEF,CHK EYE CNTRY-STYLE RIBS,BNL,LN & FAT,0\ FAT,ALL GR,RAW"""
3631,0,1.41,0.2233,0.0504,"BEEF,RIB,SML END (RIBS 10-12),LN,1/8\ FAT,ALL GRDS,RAW"""
3632,0.7685,3.57,0,0.0124,"SORGHUM FLR,REFINED,UNENR"
3633,0.1864,0.99,0.0398,0.0115,"YOGURT,FRUIT,LOFAT,9 GRAMS PROT PER 8 OZ"
3634,0,1.22,0.2105,0.042,"BEEF,CHUCK,MOCK TENDER STEAK,BNLESS,LN & FAT,0\ FAT,SEL,RAW"""
3635,3e-04,2.6,0.2323,0.1859,"CHICKEN,BROILERS OR FRYERS,BACK,MEAT & SKN,CKD,ROTISSERIE,OR"
3636,3e-04,3.07,0,0.2143,"LAMB,NZ,IMP,NECK CHOPS,LN & FAT,CKD,BRSD"
3637,0,1.53,0.2047,0.0731,"SALMON,SOCKEYE,CND,WO/SALT,DRND SOL W/BONE"
3638,0.3176,1.98,0,0.0471,"SUPPER BAKES MEAL,CHEESY CHICK W/ PASTA (CHICK NOT INCLUDED)"
3639,0.6886,2.78,0.0037,7e-04,JAMS AND PRESERVES
3640,0,9.02,0,1,"FISH OIL,SALMON"
3641,0.6021,3.86,0,0.0892,"FORMULATED BAR,SLIM-FAST OPTIMA MEAL BAR,MILK CHOC PNUT"
3642,0.82,3.78,0,0.0569,"CEREALS RTE,GENERAL MILLS,DULCE DE LECHE CHEERIOS"
3643,0.1618,1.57,0,0.094,POTATO SALAD W/ EGG
3644,0.812,3.85,0.084,0.032,"SNACKS,RICE CAKES,BROWN RICE,CORN"
3645,0.0435,0.3,0.0327,0.0073,"CHIVES,RAW"
3646,1,3.68,0,0,"SWEETENERS,TABLETOP,FRUCTOSE,DRY,PDR"
3647,0,2.08,0,0.0973,"BEEF,NZ,IMP,FLANK,LN & FAT,CKD,BRSD"
3648,0.4917,3.09,0.015,0.1181,"PLANTAINS,GRN,FRIED"
3649,0,1.12,0.2357,0.0195,"GROUND TURKEY,FAT FREE,RAW"
3650,0.021,3.34,0.125,0.303,"LUNCHEON MEAT,PORK,CANNED"
3651,0.706,4.01,0,0.115,"KELLOGG'S,POP-TARTS,FRSTD ORANGE CRM TOASTER PASTRIES"
3652,0.0408,2.85,0.2722,0.1691,"CHICKEN,BROILERS OR FRYERS,DK MEAT,MEAT&SKN,CKD,FRIED,FLR"
3653,0,1.19,0.2048,0.0346,"TROUT,RAINBOW,WILD,RAW"
3654,0.0702,0.43,0.0346,0.0112,"DILL WEED,FRSH"
3655,0.1294,0.5,0.0034,7e-04,"PEARS,CND,JUC PK,SOL&LIQUIDS"
3656,0.762,4.24,0,0.1,"NABISCO,NABISCO GRAHAMS CRACKERS"
3657,0.815,3.87,0.082,0.028,"RICE CAKES,BROWN RICE,PLN"
3658,0,0.87,0,0.0264,"BEEF,NZ,IMP,KIDNEY,RAW"
3659,0.104,0.72,0,0.024,"PREGO PASTA,ORGANIC MUSHROOM ITALIAN SAU,RTS"
3660,0.79,4.17,0.081,0.069,"ICE CRM CONES,CAKE OR WAFER-TYPE"
3661,0,1.53,0.2222,0.065,"BEEF,SHRT LOIN,T-BONE STEAK,BONE-IN,LN,1/8\ FAT,ALL GRDS,RAW"""
